timestamp,iat,src_ip,dst_ip,src_port,dst_port,length,ip_proto,highest_layer,tcp_flag_fin,tcp_flag_syn,tcp_flag_rst,tcp_flag_psh,tcp_flag_ack,tcp_flag_urg,tcp_flag_ece,tcp_flag_cwr
1725000000.15,0.027674867603724625,192.168.1.10,142.250.76.206,29893,443,1342,6,HTTP,0,1,1,0,1,1,1,1
1725000000.16,0.04977501417171964,192.168.1.10,142.250.76.206,36881,8000,500,17,TLS,0,0,0,0,1,0,0,0
1725000000.17,0.039633095960687655,192.168.1.10,8.8.8.8,60889,80,156,17,DNS,0,1,1,1,1,1,0,1
1725000000.18,0.031108961472058133,192.168.1.10,8.8.8.8,1918,25,261,6,SMTP,0,1,0,1,1,0,1,1
1725000000.19,0.049448007384094245,10.0.0.5,142.250.76.206,18985,21,245,17,SMTP,0,0,0,1,1,1,0,1
1725000000.2,0.010765434911779947,192.168.1.10,142.250.76.206,28415,443,600,17,DNS,0,0,0,1,0,1,0,0
1725000000.21,0.008010601692892227,10.0.0.5,142.250.76.206,58992,53,1058,17,FTP,0,0,0,0,0,0,1,0
1725000000.22,0.03062698021365154,192.168.1.10,142.250.76.206,47638,53,1220,17,TCP,1,0,1,0,1,0,0,1
1725000000.23,0.0021971003980691683,192.168.1.10,8.8.8.8,44921,25,1229,6,HTTP,0,1,0,1,0,0,0,0
1725000000.24,0.0017840139386798072,10.0.0.5,8.8.8.8,25430,8080,1440,17,DNS,0,0,0,1,1,1,1,0
1725000000.25,0.025744441013568514,10.0.0.5,8.8.8.8,56083,443,1192,17,UDP,1,1,1,0,0,1,0,1
1725000000.26,0.023310301266264457,192.168.1.10,142.250.76.206,13025,53,440,17,UDP,0,0,1,0,0,0,1,1
1725000000.27,0.04585838865964262,10.0.0.5,142.250.76.206,27038,80,711,17,SMTP,1,1,0,0,0,1,0,1
1725000000.28,0.03146131272455052,10.0.0.5,142.250.76.206,24024,443,992,17,UDP,0,0,1,0,0,0,1,0
1725000000.29,0.025705882329975695,192.168.1.10,8.8.8.8,1235,53,314,6,SMTP,0,0,0,0,0,1,1,1
1725000000.3,0.024843671769675214,192.168.1.10,8.8.8.8,6923,8080,1049,17,TCP,1,1,0,1,1,0,0,0
1725000000.31,0.012375746101366542,10.0.0.5,142.250.76.206,51792,8080,110,6,FTP,1,0,0,1,0,1,0,0
1725000000.32,0.000589701277125293,192.168.1.10,142.250.76.206,61925,8080,383,17,UDP,1,1,0,0,1,0,0,0
1725000000.33,0.009620107199265532,10.0.0.5,8.8.8.8,16859,443,1285,17,SMTP,0,1,0,0,0,1,0,0
1725000000.34,0.03460160604409196,192.168.1.10,142.250.76.206,6011,443,519,17,SMTP,0,0,1,0,1,0,1,1
1725000000.35,0.01003033619934976,192.168.1.10,8.8.8.8,10215,53,1467,6,FTP,1,1,0,1,0,1,1,0
1725000000.36,0.018476815530110335,10.0.0.5,8.8.8.8,4799,53,1268,17,SMTP,0,0,1,1,1,0,1,0
1725000000.37,0.00018671210260379767,192.168.1.10,142.250.76.206,52600,8080,411,17,DNS,0,0,1,1,0,1,1,1
1725000000.38,0.04150238649008728,192.168.1.10,8.8.8.8,4151,8000,1385,17,SMTP,0,1,1,1,1,0,1,0
1725000000.39,0.007723054053071993,10.0.0.5,8.8.8.8,45299,53,1307,17,HTTP,0,0,0,0,1,0,1,1
1725000000.4,0.013379965228189274,10.0.0.5,8.8.8.8,52219,443,1475,17,DNS,0,1,0,0,1,0,1,1
1725000000.41,0.044016607699041435,10.0.0.5,142.250.76.206,14727,8000,639,17,FTP,1,0,1,1,1,0,1,0
1725000000.42,0.02548954049342116,192.168.1.10,8.8.8.8,15797,21,1366,6,UDP,0,0,1,0,0,0,0,1
1725000000.43,0.04235751231829347,192.168.1.10,142.250.76.206,18285,8000,508,17,HTTP,1,0,0,0,1,0,0,1
1725000000.44,0.03198585834712631,192.168.1.10,8.8.8.8,49999,53,572,17,UDP,1,1,0,0,0,1,0,0
1725000000.45,0.037088547368092854,10.0.0.5,8.8.8.8,61614,53,787,6,DNS,0,1,0,1,1,1,1,0
1725000000.46,0.0045747802531522835,10.0.0.5,142.250.76.206,49752,80,580,6,FTP,1,1,1,1,1,1,0,0
1725000000.47,0.02705719106882444,10.0.0.5,8.8.8.8,18347,8080,71,6,SMTP,0,1,1,1,1,0,1,0
1725000000.48,0.0253886118150175,192.168.1.10,142.250.76.206,47247,21,1094,17,TLS,0,1,0,0,0,1,1,0
1725000000.49,0.04356696883464403,10.0.0.5,8.8.8.8,46336,443,697,6,TCP,1,1,1,1,1,0,1,1
1725000000.5,0.01806320295070788,192.168.1.10,8.8.8.8,28320,21,1237,17,HTTP,0,1,1,0,1,0,0,1
1725000000.51,0.029909203360360653,192.168.1.10,8.8.8.8,9381,80,347,17,TCP,1,0,0,1,0,0,1,0
1725000000.52,0.002962582117275181,192.168.1.10,8.8.8.8,21317,8000,386,17,FTP,0,1,0,1,0,0,1,0
1725000000.53,0.019381590055536437,192.168.1.10,8.8.8.8,53602,21,1085,6,SMTP,1,0,0,1,1,0,0,0
1725000000.54,0.016151817312910332,10.0.0.5,142.250.76.206,34315,53,1065,17,FTP,0,0,1,0,0,0,0,0
1725000000.55,0.007509986453522594,10.0.0.5,8.8.8.8,8609,25,783,17,TLS,1,1,0,1,0,1,0,0
1725000000.56,0.04081690519095379,192.168.1.10,142.250.76.206,60010,8080,926,17,DNS,1,1,1,0,0,1,1,1
1725000000.57,0.018972308577515626,192.168.1.10,142.250.76.206,34314,8000,1311,6,SMTP,1,1,0,0,1,1,1,0
1725000000.58,0.048937394220561085,192.168.1.10,142.250.76.206,23537,25,1325,17,FTP,1,1,1,1,0,1,1,0
1725000000.59,0.029499584650530514,192.168.1.10,142.250.76.206,3295,443,1351,17,SMTP,1,0,1,1,1,1,1,1
1725000000.6,0.030252812691492565,10.0.0.5,142.250.76.206,37913,53,1489,17,TLS,1,1,0,0,1,1,1,0
1725000000.61,0.03189982903941661,10.0.0.5,142.250.76.206,36510,25,516,17,DNS,1,0,1,0,1,0,0,0
1725000000.62,0.03382251219063941,10.0.0.5,8.8.8.8,10769,8080,1207,6,FTP,0,0,0,0,1,1,0,0
1725000000.63,0.007539400958418436,192.168.1.10,142.250.76.206,55640,21,463,6,DNS,0,1,1,0,1,0,0,1
1725000000.64,0.022015673359409377,10.0.0.5,142.250.76.206,33540,8080,1310,6,FTP,1,0,1,1,0,1,0,0
1725000000.65,0.011978198091476168,10.0.0.5,142.250.76.206,6468,80,1412,17,HTTP,0,1,1,0,1,0,1,0
1725000000.66,0.020124914905199083,10.0.0.5,8.8.8.8,13616,53,692,6,HTTP,1,1,0,1,0,0,1,0
1725000000.67,0.004835204696587281,192.168.1.10,8.8.8.8,18716,8000,785,17,SMTP,1,0,0,1,0,1,0,0
1725000000.68,0.04839140255244107,192.168.1.10,8.8.8.8,49396,443,229,6,DNS,0,0,1,0,0,1,1,0
1725000000.69,0.010750201867794002,10.0.0.5,142.250.76.206,50355,25,198,6,TLS,1,0,0,1,1,1,1,1
1725000000.7,0.03358825813056425,10.0.0.5,142.250.76.206,54012,443,344,17,TLS,1,1,0,1,1,0,0,1
1725000000.71,0.015021004073953514,192.168.1.10,142.250.76.206,40253,80,126,6,HTTP,0,1,1,0,0,1,0,0
1725000000.72,0.04370385130747523,10.0.0.5,8.8.8.8,59704,443,635,6,FTP,0,1,1,1,1,1,1,1
1725000000.73,0.03311073691692269,10.0.0.5,142.250.76.206,21202,8000,1486,6,SMTP,0,0,1,1,0,0,1,0
1725000000.74,0.006580790790415287,192.168.1.10,142.250.76.206,38630,8000,1078,6,HTTP,1,0,0,0,1,0,1,1
1725000000.75,0.04225371604372765,192.168.1.10,8.8.8.8,41595,80,893,17,UDP,0,1,0,0,0,0,0,1
1725000000.76,0.04724740855724898,192.168.1.10,8.8.8.8,24739,25,1110,17,DNS,0,1,1,1,0,1,0,1
1725000000.77,0.045195839409796344,192.168.1.10,8.8.8.8,30357,80,138,6,UDP,1,1,0,0,0,1,0,1
1725000000.78,0.028485957392963862,192.168.1.10,142.250.76.206,46542,8080,1004,17,UDP,0,0,1,0,1,0,0,0
1725000000.79,0.007272997688046345,192.168.1.10,8.8.8.8,56655,53,796,6,FTP,0,0,1,1,1,0,0,1
1725000000.8,0.009623174748416619,192.168.1.10,8.8.8.8,60490,80,224,17,HTTP,1,1,0,1,1,0,0,1
1725000000.81,0.04639528423722622,192.168.1.10,142.250.76.206,19921,8000,785,6,HTTP,1,0,0,1,0,0,1,1
1725000000.82,0.02761632438336319,192.168.1.10,142.250.76.206,47315,8000,1016,17,SMTP,0,1,1,1,1,1,1,1
1725000000.83,0.009027624922445581,192.168.1.10,142.250.76.206,49905,80,686,17,HTTP,0,0,0,1,0,0,1,0
1725000000.84,0.0442028447098235,192.168.1.10,142.250.76.206,61491,53,1387,6,TCP,0,1,1,1,1,1,1,1
1725000000.85,0.03207858526112404,10.0.0.5,8.8.8.8,42031,8000,1429,17,TCP,1,0,0,0,1,1,0,1
1725000000.86,0.028484713723690398,192.168.1.10,142.250.76.206,14005,53,580,17,DNS,0,1,1,0,1,0,1,1
1725000000.87,0.01881439180649601,192.168.1.10,142.250.76.206,48789,25,1426,17,HTTP,1,0,1,0,1,0,1,1
1725000000.88,0.020547764107856494,10.0.0.5,8.8.8.8,12031,8000,409,17,TLS,0,0,1,1,0,0,0,1
1725000000.89,0.011974460634092243,192.168.1.10,8.8.8.8,25426,80,239,6,TCP,0,0,0,1,1,1,1,1
1725000000.9,0.0019028643345619545,10.0.0.5,142.250.76.206,32578,21,994,17,HTTP,0,1,1,1,0,1,0,0
1725000000.91,0.04381094040546355,10.0.0.5,142.250.76.206,47789,21,278,17,FTP,0,0,0,0,0,0,0,0
1725000000.92,0.023386510840704807,192.168.1.10,142.250.76.206,11854,8000,520,6,SMTP,0,0,0,0,0,0,0,0
1725000000.93,0.027381759960686765,10.0.0.5,8.8.8.8,46080,21,646,6,UDP,0,0,0,1,0,1,1,0
1725000000.94,0.016108165489011256,192.168.1.10,142.250.76.206,10331,8080,1049,17,FTP,1,1,0,0,0,1,0,0
1725000000.95,0.0375662459927464,10.0.0.5,142.250.76.206,26021,21,1260,6,UDP,1,1,1,1,1,0,0,1
1725000000.96,0.0012598435400880182,10.0.0.5,8.8.8.8,8868,21,1345,6,UDP,1,0,0,0,0,1,1,1
1725000000.97,0.018609263628260198,192.168.1.10,142.250.76.206,2730,8080,958,17,HTTP,0,0,0,0,0,0,1,1
1725000000.98,0.0015175147192055816,192.168.1.10,142.250.76.206,22040,8080,1447,6,TCP,1,0,1,1,1,1,0,0
1725000000.99,0.006144605110250468,192.168.1.10,142.250.76.206,63142,25,1110,6,TLS,0,0,1,1,0,1,0,1
1725000001.0,0.04835741176986839,10.0.0.5,8.8.8.8,37219,25,1318,6,TLS,0,1,1,0,1,0,0,0
1725000001.01,0.032888036501925726,192.168.1.10,142.250.76.206,47059,8000,889,17,SMTP,0,1,0,0,0,1,1,0
1725000001.02,0.021411012319474065,10.0.0.5,142.250.76.206,15793,25,229,17,FTP,1,0,1,0,1,1,0,1
1725000001.03,0.026187005395524016,192.168.1.10,8.8.8.8,14231,443,362,17,HTTP,0,1,1,1,0,1,0,1
1725000001.04,0.04364046042823872,192.168.1.10,142.250.76.206,59450,8000,655,6,SMTP,0,0,1,1,0,0,1,0
1725000001.05,0.01721053334980131,192.168.1.10,8.8.8.8,48169,8080,1237,6,TCP,1,0,0,1,1,0,1,1
1725000001.06,0.029514549114485734,10.0.0.5,142.250.76.206,32555,53,656,6,UDP,1,1,0,1,0,0,0,1
1725000001.07,0.034184218666977184,10.0.0.5,142.250.76.206,19002,53,80,17,HTTP,1,0,1,0,1,1,0,1
1725000001.08,0.017770688851175605,10.0.0.5,8.8.8.8,56636,25,683,17,SMTP,0,1,1,0,0,1,0,1
1725000001.09,0.025954924324799507,192.168.1.10,8.8.8.8,31298,8080,1065,6,SMTP,1,1,0,1,1,0,0,1
1725000001.1,0.038262369163926134,192.168.1.10,8.8.8.8,4428,25,1486,6,FTP,1,1,0,0,0,1,1,1
1725000001.11,0.04545896569952751,192.168.1.10,142.250.76.206,56496,8000,339,17,TLS,1,0,1,1,1,1,1,0
1725000001.12,0.007553113903840775,10.0.0.5,8.8.8.8,27966,80,506,17,TCP,0,1,0,1,0,1,0,1
1725000001.13,0.04667096961537143,10.0.0.5,142.250.76.206,29929,8000,738,6,DNS,1,1,1,1,1,1,0,1
1725000001.14,0.0002589432907716072,10.0.0.5,8.8.8.8,25660,21,763,6,DNS,1,0,1,1,0,0,0,1
1725000001.15,0.0376488751798877,192.168.1.10,8.8.8.8,19603,443,1464,6,TCP,0,1,0,0,1,1,0,1
1725000001.16,0.04052634151586226,10.0.0.5,142.250.76.206,39786,443,634,6,FTP,1,1,0,0,1,1,1,0
1725000001.17,0.006838202577129077,192.168.1.10,142.250.76.206,20731,21,836,17,FTP,1,0,0,1,0,1,0,1
1725000001.18,0.02094518254565926,192.168.1.10,8.8.8.8,33868,53,422,17,TLS,1,1,0,0,0,1,1,0
1725000001.19,0.04076281389975228,10.0.0.5,142.250.76.206,5992,8000,142,6,SMTP,1,0,1,1,0,1,1,0
1725000001.2,0.0007135594842305305,10.0.0.5,8.8.8.8,54791,21,625,6,TCP,0,0,0,0,1,0,0,1
1725000001.21,0.03142309739331454,192.168.1.10,8.8.8.8,15184,8000,677,6,FTP,1,1,0,0,0,1,0,1
1725000001.22,0.03965118290490171,192.168.1.10,8.8.8.8,40062,25,308,17,SMTP,0,1,1,0,0,1,0,1
1725000001.23,0.025650179141110424,10.0.0.5,8.8.8.8,18513,53,1010,17,DNS,1,0,0,1,1,0,0,0
1725000001.24,0.03629247102755436,10.0.0.5,8.8.8.8,12963,53,536,6,SMTP,1,1,0,1,0,0,1,1
1725000001.25,0.011321174134857205,192.168.1.10,142.250.76.206,12182,8000,141,6,HTTP,1,1,1,1,1,1,0,1
1725000001.26,0.009926057399633642,10.0.0.5,142.250.76.206,46597,25,830,17,DNS,1,0,1,0,0,0,1,0
1725000001.27,0.01815634752751758,10.0.0.5,8.8.8.8,5092,53,423,17,UDP,0,1,0,0,1,1,0,1
1725000001.28,0.008970301378357326,10.0.0.5,8.8.8.8,52407,8080,1107,17,FTP,1,1,0,1,1,0,0,1
1725000001.29,0.017303071955623923,10.0.0.5,8.8.8.8,31072,53,86,17,SMTP,1,1,0,1,0,0,1,0
1725000001.3,0.04740620307054074,192.168.1.10,142.250.76.206,30319,443,1166,6,DNS,0,1,0,0,0,0,1,0
1725000001.31,0.028666635880556048,10.0.0.5,142.250.76.206,14854,8080,837,17,HTTP,1,1,0,0,1,0,1,1
1725000001.32,0.017003403371041993,10.0.0.5,142.250.76.206,24058,80,1111,17,TCP,1,1,0,1,0,1,1,0
1725000001.33,0.013576230990439265,192.168.1.10,142.250.76.206,48682,21,609,6,FTP,0,0,0,1,0,1,1,1
1725000001.34,0.04760197453537612,10.0.0.5,142.250.76.206,58477,53,1330,17,HTTP,0,1,0,0,0,0,1,1
1725000001.35,0.022223910482355665,10.0.0.5,8.8.8.8,60537,21,785,17,TLS,0,1,0,1,1,1,1,0
1725000001.36,0.049019737544029475,192.168.1.10,8.8.8.8,41098,443,1496,6,DNS,1,0,1,1,0,1,0,1
1725000001.37,0.02577613345531355,10.0.0.5,142.250.76.206,18634,53,486,17,TCP,0,0,0,1,1,0,1,1
1725000001.38,0.0260583064513112,192.168.1.10,142.250.76.206,5999,80,1293,6,TCP,0,1,0,0,0,1,0,1
1725000001.39,0.04482702618580004,192.168.1.10,8.8.8.8,37940,21,1005,6,TCP,0,0,0,0,1,1,0,0
1725000001.4,0.03713837091075198,192.168.1.10,142.250.76.206,36641,8080,1392,6,UDP,1,1,1,1,0,0,0,0
1725000001.41,0.02903264319264113,192.168.1.10,142.250.76.206,33713,80,309,17,UDP,0,0,0,1,1,0,0,0
1725000001.42,0.021332475191812916,192.168.1.10,142.250.76.206,34951,443,799,17,DNS,1,1,1,1,0,1,1,0
1725000001.43,0.04390939297091403,192.168.1.10,8.8.8.8,5869,80,1365,6,SMTP,0,0,0,1,1,1,0,0
1725000001.44,0.020582307495344423,10.0.0.5,8.8.8.8,26405,8080,412,6,TCP,0,1,0,0,0,1,1,0
1725000001.45,0.04613797880842338,10.0.0.5,142.250.76.206,9079,8080,1442,17,UDP,1,1,1,1,1,1,0,1
1725000001.46,0.0034357676060930765,10.0.0.5,142.250.76.206,56193,80,1452,6,UDP,0,1,0,0,0,0,1,0
1725000001.47,0.021499843095058153,10.0.0.5,142.250.76.206,58102,21,769,17,DNS,1,1,0,0,0,0,0,0
1725000001.48,0.02597574099389295,192.168.1.10,142.250.76.206,54155,21,1108,17,UDP,0,0,1,0,1,0,1,1
1725000001.49,0.04754690977909249,192.168.1.10,8.8.8.8,31612,25,730,17,FTP,1,0,0,1,1,0,1,1
1725000001.5,0.012549962333237907,10.0.0.5,8.8.8.8,52757,53,1006,17,TCP,1,1,1,0,1,1,1,0
1725000001.51,0.04030195736310544,10.0.0.5,8.8.8.8,52930,8080,1297,17,TCP,1,0,1,1,0,0,1,0
1725000001.52,0.03382355999992967,10.0.0.5,142.250.76.206,23494,21,1126,6,UDP,0,1,1,0,1,0,1,0
1725000001.53,0.03585429521405615,192.168.1.10,142.250.76.206,5319,443,477,17,DNS,0,0,0,0,0,0,0,1
1725000001.54,0.03148110914201018,10.0.0.5,142.250.76.206,55431,21,894,6,FTP,0,1,0,0,1,0,0,1
1725000001.55,0.04857803542307901,10.0.0.5,8.8.8.8,39395,443,1216,6,DNS,1,0,0,0,0,1,0,0
1725000001.56,0.016634072960566244,192.168.1.10,142.250.76.206,29961,21,897,6,HTTP,1,1,1,1,1,0,1,1
1725000001.57,0.01991377798396853,192.168.1.10,142.250.76.206,56846,443,473,17,TCP,0,1,0,0,0,1,1,1
1725000001.58,0.010145587610675811,10.0.0.5,8.8.8.8,62365,21,1142,17,SMTP,0,1,1,0,1,1,0,0
1725000001.59,0.0025352027636135256,10.0.0.5,142.250.76.206,56959,53,1096,6,TLS,0,1,1,0,0,1,1,1
1725000001.6,0.01064540974876696,10.0.0.5,142.250.76.206,1828,21,974,6,DNS,0,0,1,1,0,0,1,1
1725000001.61,0.04577321985619542,192.168.1.10,142.250.76.206,1393,8080,540,6,TLS,1,1,1,0,1,0,0,1
1725000001.62,0.042008440857919487,10.0.0.5,142.250.76.206,32557,25,870,17,SMTP,1,0,1,0,0,0,1,0
1725000001.63,0.00562028707462895,192.168.1.10,142.250.76.206,34680,53,927,6,TLS,0,1,1,0,0,1,1,0
1725000001.64,0.03018895126584327,192.168.1.10,8.8.8.8,16108,21,367,17,TCP,1,0,0,0,0,1,1,0
1725000001.65,0.02395982474448124,10.0.0.5,142.250.76.206,24828,53,1393,17,TCP,1,1,1,0,0,0,1,0
1725000001.66,0.02973424352441393,10.0.0.5,8.8.8.8,37530,53,915,6,TCP,1,1,1,0,1,0,1,0
1725000001.67,0.032963750330453165,192.168.1.10,8.8.8.8,50055,25,138,17,DNS,1,0,0,1,1,1,1,1
1725000001.68,0.015332974544443595,10.0.0.5,142.250.76.206,49857,8080,449,6,FTP,1,0,1,1,0,1,1,1
1725000001.69,0.04806754223682285,192.168.1.10,8.8.8.8,5747,443,1222,17,FTP,1,0,0,0,0,1,1,1
1725000001.7,0.02329200175305625,10.0.0.5,8.8.8.8,25735,443,1058,17,TCP,1,0,1,1,1,0,0,0
1725000001.71,0.03140504274324534,192.168.1.10,142.250.76.206,18114,80,840,6,FTP,1,0,0,1,1,0,1,1
1725000001.72,0.03176130919498566,10.0.0.5,142.250.76.206,19671,8000,771,6,HTTP,1,0,0,1,1,1,0,0
1725000001.73,0.009194469825484558,10.0.0.5,142.250.76.206,53448,25,605,6,DNS,0,1,0,0,0,1,0,1
1725000001.74,0.0030932709078187073,192.168.1.10,142.250.76.206,28700,443,1416,6,SMTP,1,0,1,1,0,0,1,1
1725000001.75,0.020575841174898746,10.0.0.5,142.250.76.206,31315,8080,564,6,UDP,0,0,1,0,0,1,1,1
1725000001.76,0.03820150442192344,10.0.0.5,8.8.8.8,64165,53,1256,17,TLS,0,0,0,0,1,0,1,0
1725000001.77,0.040761089414588586,10.0.0.5,8.8.8.8,30257,53,159,17,SMTP,1,0,0,1,0,1,0,1
1725000001.78,0.03649946245010325,10.0.0.5,142.250.76.206,49512,21,828,6,SMTP,1,0,1,1,1,1,1,1
1725000001.79,0.005660247626261151,10.0.0.5,142.250.76.206,63506,25,432,17,DNS,0,0,0,0,1,1,1,0
1725000001.8,0.045667743076552275,10.0.0.5,8.8.8.8,63999,25,668,6,TLS,0,0,1,1,1,1,1,1
1725000001.81,0.04010182889986419,10.0.0.5,8.8.8.8,21660,80,957,17,TCP,0,0,1,1,0,1,0,0
1725000001.82,0.04388456833247668,192.168.1.10,142.250.76.206,27064,8080,157,17,UDP,0,1,1,1,1,0,1,0
1725000001.83,0.026165207648758865,10.0.0.5,8.8.8.8,3715,53,200,17,TCP,0,1,1,0,1,1,0,0
1725000001.84,0.04578177175503662,10.0.0.5,8.8.8.8,49292,8000,894,6,UDP,0,0,0,1,0,1,1,1
1725000001.85,0.002332611897694359,10.0.0.5,8.8.8.8,26325,25,1023,17,UDP,1,0,0,1,1,0,1,0
1725000001.86,0.001514441696580099,10.0.0.5,8.8.8.8,1837,8000,148,17,FTP,0,0,0,0,1,0,0,1
1725000001.87,0.0010107786678073439,10.0.0.5,8.8.8.8,10918,443,1445,6,SMTP,0,0,1,1,1,1,0,0
1725000001.88,0.01263843389762282,192.168.1.10,142.250.76.206,12493,25,690,17,FTP,0,0,1,1,0,1,0,1
1725000001.89,0.012428488660449145,192.168.1.10,8.8.8.8,6306,53,1472,6,HTTP,0,1,0,0,0,1,1,1
1725000001.9,0.009375166717798328,192.168.1.10,142.250.76.206,5553,8000,256,6,HTTP,1,0,1,0,0,0,0,0
1725000001.91,0.028352790919269785,192.168.1.10,142.250.76.206,37657,25,1340,6,SMTP,1,1,1,1,0,0,1,0
1725000001.92,0.0019492920516522684,192.168.1.10,142.250.76.206,16111,8080,988,6,FTP,0,0,0,0,0,1,0,1
1725000001.93,0.029519393391742588,10.0.0.5,142.250.76.206,62540,25,1221,17,UDP,0,1,0,1,0,1,1,0
1725000001.94,0.008300557652360851,10.0.0.5,8.8.8.8,37907,8080,1223,17,TLS,0,0,1,1,1,1,1,0
1725000001.95,0.033893685428365475,192.168.1.10,142.250.76.206,38402,443,316,17,FTP,1,1,1,0,0,0,1,0
1725000001.96,0.001053767722194554,192.168.1.10,142.250.76.206,34824,443,301,17,HTTP,1,1,1,0,0,0,0,0
1725000001.97,0.015528509852659744,10.0.0.5,142.250.76.206,42770,25,1457,6,UDP,1,0,0,1,1,0,1,1
1725000001.98,0.0469170643432307,10.0.0.5,142.250.76.206,51482,443,683,6,DNS,1,0,1,0,1,1,1,0
1725000001.99,0.026919818993862234,10.0.0.5,142.250.76.206,21901,80,351,6,SMTP,1,1,0,0,0,0,1,1
1725000002.0,0.04057937013733754,10.0.0.5,142.250.76.206,40609,21,968,6,UDP,1,1,1,1,0,1,1,1
1725000002.01,0.032901304080586294,192.168.1.10,142.250.76.206,37867,8000,1311,6,DNS,0,1,1,0,1,1,1,1
1725000002.02,0.030537539280676314,10.0.0.5,142.250.76.206,45261,53,454,17,FTP,1,1,1,0,0,1,0,1
1725000002.03,0.009562634004244869,10.0.0.5,8.8.8.8,49552,443,1324,17,UDP,0,1,1,1,1,0,1,1
1725000002.04,0.0287197374128903,10.0.0.5,142.250.76.206,50313,8080,152,6,TLS,0,1,0,0,1,1,1,0
1725000002.05,0.00198432092295,192.168.1.10,142.250.76.206,39039,443,955,17,TLS,0,0,1,1,0,0,0,1
1725000002.06,0.04008322025459367,192.168.1.10,8.8.8.8,5624,8080,600,6,DNS,1,1,1,0,0,0,1,0
1725000002.07,0.04800354585130881,10.0.0.5,142.250.76.206,52812,443,810,17,TCP,0,0,1,1,0,0,0,0
1725000002.08,0.04270045356709226,192.168.1.10,142.250.76.206,63497,443,932,17,TLS,1,1,1,0,1,0,1,1
1725000002.09,0.00253548229830306,192.168.1.10,142.250.76.206,36535,8000,348,6,UDP,0,0,0,1,1,0,0,0
1725000002.1,0.016933004169010925,192.168.1.10,8.8.8.8,29399,25,131,6,TCP,1,0,0,0,0,0,1,1
1725000002.11,0.015900159893114114,10.0.0.5,142.250.76.206,13806,53,808,6,TLS,0,0,0,0,1,1,0,1
1725000002.12,0.005635849586143499,192.168.1.10,8.8.8.8,30636,21,1432,6,UDP,0,1,1,1,0,0,1,0
1725000002.13,0.03133059096640605,10.0.0.5,8.8.8.8,38616,25,478,17,HTTP,1,0,0,1,0,0,0,1
1725000002.14,0.03987290876831667,192.168.1.10,142.250.76.206,51025,80,865,17,SMTP,1,1,0,0,1,1,0,0
1725000002.15,0.015686073600112194,10.0.0.5,142.250.76.206,32694,8000,241,17,FTP,1,0,0,1,1,0,1,0
1725000002.16,0.04314046174593674,192.168.1.10,142.250.76.206,12732,21,555,6,HTTP,1,1,0,1,0,1,1,0
1725000002.17,0.03985634564230649,192.168.1.10,142.250.76.206,11728,8000,244,17,FTP,1,0,1,1,0,1,0,0
1725000002.18,0.006456897073716239,10.0.0.5,142.250.76.206,35489,8080,221,17,DNS,0,0,0,1,0,1,0,0
1725000002.19,0.03834295783690777,10.0.0.5,142.250.76.206,40967,80,1213,6,UDP,1,0,0,1,0,0,0,1
1725000002.2,0.044131035995095914,192.168.1.10,8.8.8.8,57961,8080,1361,17,TLS,0,0,0,0,1,0,1,0
